Department,Year/Term,Metric,Value
HIS,Spring 2025,Majors,194
HIS,Spring 2026,Majors,165
JMP,Fall 2021,Majors,303
JMP,Fall 2022,Majors,304
JMP,Fall 2023,Majors,304
JMP,Fall 2024,Majors,272
JMP,Fall 2025,Majors,243
JMP,Spring 2022,Majors,283
JMP,Spring 2023,Majors,283
JMP,Spring 2024,Majors,272
JMP,Spring 2025,Majors,239
JMP,Spring 2026,Majors,215
LANG,Fall 2021,Majors,88
LANG,Fall 2022,Majors,79
LANG,Fall 2023,Majors,72
LANG,Fall 2024,Majors,70
LANG,Fall 2025,Majors,44
LANG,Spring 2022,Majors,86
LANG,Spring 2023,Majors,74
LANG,Spring 2024,Majors,78
LANG,Spring 2025,Majors,52
LANG,Spring 2026,Majors,42
MUS,Fall 2021,Majors,195
MUS,Fall 2022,Majors,179
MUS,Fall 2022,Majors,204
MUS,Fall 2023,Majors,193
MUS,Fall 2024,Majors,166
MUS,Fall 2025,Majors,179
MUS,Spring 2022,Majors,169
MUS,Spring 2023,Majors,173
MUS,Spring 2024,Majors,159
MUS,Spring 2025,Majors,163
MUS,Spring 2026,Majors,149
PHI,Fall 2021,Majors,34
PHI,Fall 2022,Majors,36
PHI,Fall 2023,Majors,35
PHI,Fall 2024,Majors,35
PHI,Fall 2025,Majors,32
PHI,Spring 2022,Majors,28
PHI,Spring 2023,Majors,37
PHI,Spring 2024,Majors,36
PHI,Spring 2025,Majors,34
PHI,Spring 2026,Majors,34
PHY,Fall 2021,Majors,37
PHY,Fall 2022,Majors,44
PHY,Fall 2023,Majors,51
PHY,Fall 2024,Majors,38
PHY,Fall 2025,Majors,36
PHY,Spring 2022,Majors,33
PHY,Spring 2023,Majors,35
PHY,Spring 2024,Majors,40
PHY,Spring 2025,Majors,35
PHY,Spring 2026,Majors,30
PSC,Fall 2021,Majors,189
PSC,Fall 2022,Majors,172
PSC,Fall 2023,Majors,196
PSC,Fall 2024,Majors,166
PSC,Fall 2025,Majors,205
PSC,Spring 2022,Majors,164
PSC,Spring 2023,Majors,162
PSC,Spring 2024,Majors,171
PSC,Spring 2025,Majors,171
PSC,Spring 2026,Majors,179
PSYC,Fall 2021,Majors,1197
PSYC,Fall 2022,Majors,1215
PSYC,Fall 2023,Majors,1234
PSYC,Fall 2024,Majors,1237
PSYC,Fall 2025,Majors,1337
PSYC,Spring 2022,Majors,1087
PSYC,Spring 2023,Majors,1086
PSYC,Spring 2024,Majors,1114
PSYC,Spring 2025,Majors,1182
PSYC,Spring 2026,Majors,1176
AAS,2021-2022,Online_CHP,0.67
ART,2021-2022,Online_CHP,0.25
BIO,2021-2022,Online_CHP,0.26
CHEM,2021-2022,Online_CHP,0.37
CHS,2021-2022,Online_CHP,0.58
COMM,2021-2022,Online_CHP,0.44
EAS,2021-2022,Online_CHP,0.49
ENG,2021-2022,Online_CHP,0.53
GWS,2021-2022,Online_CHP,0.62
HIS,2021-2022,Online_CHP,0.53
JMP,2021-2022,Online_CHP,0.29
LANG,2021-2022,Online_CHP,0.47
MUS,2021-2022,Online_CHP,0.3
PHI,2021-2022,Online_CHP,0.44
PHY,2021-2022,Online_CHP,0.18
PSC,2021-2022,Online_CHP,0.5
PSYC,2021-2022,Online_CHP,0.6
SOAN,2021-2022,Online_CHP,0.61
THAD,2021-2022,Online_CHP,0.18
CLAS,2021-2022,Online_CHP,0.45
AAS,2022-2023,Online_CHP,0.63
ART,2022-2023,Online_CHP,0.17
BIO,2022-2023,Online_CHP,0.17
CHEM,2022-2023,Online_CHP,0.34
CHS,2022-2023,Online_CHP,0.55
COMM,2022-2023,Online_CHP,0.44
EAS,2022-2023,Online_CHP,0.45
ENG,2022-2023,Online_CHP,0.47
GWS,2022-2023,Online_CHP,0.65
HIS,2022-2023,Online_CHP,0.44
JMP,2022-2023,Online_CHP,0.29
LANG,2022-2023,Online_CHP,0.41
MUS,2022-2023,Online_CHP,0.24
PHI,2022-2023,Online_CHP,0.48
PHY,2022-2023,Online_CHP,0.26
PSC,2022-2023,Online_CHP,0.56
PSYC,2022-2023,Online_CHP,0.57
SOAN,2022-2023,Online_CHP,0.58
THAD,2022-2023,Online_CHP,0.07
CLAS,2022-2023,Online_CHP,0.41
AAS,2023-2024,Online_CHP,0.67
ART,2023-2024,Online_CHP,0.14
BIO,2023-2024,Online_CHP,0.19
CHEM,2023-2024,Online_CHP,0.33
CHS,2023-2024,Online_CHP,0.52
COMM,2023-2024,Online_CHP,0.42
EAS,2023-2024,Online_CHP,0.48
ENG,2023-2024,Online_CHP,0.53
GWS,2023-2024,Online_CHP,0.7
HIS,2023-2024,Online_CHP,0.44
JMP,2023-2024,Online_CHP,0.38
LANG,2023-2024,Online_CHP,0.55
MUS,2023-2024,Online_CHP,0.25
PHI,2023-2024,Online_CHP,0.48
PHY,2023-2024,Online_CHP,0.25
PSC,2023-2024,Online_CHP,0.54
PSYC,2023-2024,Online_CHP,0.56
SOAN,2023-2024,Online_CHP,0.59
THAD,2023-2024,Online_CHP,0.12
CLAS,2023-2024,Online_CHP,0.43
AAS,2024-2025,Online_CHP,0.59
ART,2024-2025,Online_CHP,0.18
BIO,2024-2025,Online_CHP,0.18
CHEM,2024-2025,Online_CHP,0.28
CHS,2024-2025,Online_CHP,0.43
COMM,2024-2025,Online_CHP,0.43
EAS,2024-2025,Online_CHP,0.44
ENG,2024-2025,Online_CHP,0.56
GWS,2024-2025,Online_CHP,0.74
HIS,2024-2025,Online_CHP,0.46
JMP,2024-2025,Online_CHP,0.37
LANG,2024-2025,Online_CHP,0.62
MUS,2024-2025,Online_CHP,0.27
PHI,2024-2025,Online_CHP,0.52
PHY,2024-2025,Online_CHP,0.23
PSC,2024-2025,Online_CHP,0.55
PSYC,2024-2025,Online_CHP,0.59
SOAN,2024-2025,Online_CHP,0.59
THAD,2024-2025,Online_CHP,0.1
CLAS,2024-2025,Online_CHP,0.45
CLAS,2021-2022,Profit_Loss,$0.10 
AAS,2021-2022,Profit_Loss,($0.33)
ART,2021-2022,Profit_Loss,($0.24)
BIO,2021-2022,Profit_Loss,$0.26 
CHEM,2021-2022,Profit_Loss,$0.30 
CHS,2021-2022,Profit_Loss,($0.29)
COMM,2021-2022,Profit_Loss,$1.00 
EAS,2021-2022,Profit_Loss,$0.29 
ENG,2021-2022,Profit_Loss,$0.32 
GWS,2021-2022,Profit_Loss,$0.12 
HIS,2021-2022,Profit_Loss,$0.44 
JMP,2021-2022,Profit_Loss,$0.09 
LANG,2021-2022,Profit_Loss,$0.24 
MUS,2021-2022,Profit_Loss,($0.47)
PHI,2021-2022,Profit_Loss,$0.15 
PHY,2021-2022,Profit_Loss,$0.03 
PSC,2021-2022,Profit_Loss,$0.13 
PSYC,2021-2022,Profit_Loss,$0.70 
SOAN,2021-2022,Profit_Loss,$0.06 
THAD,2021-2022,Profit_Loss,($0.44)
CLAS,2022-2023,Profit_Loss,$0.21 
AAS,2022-2023,Profit_Loss,($0.54)
ART,2022-2023,Profit_Loss,($0.36)
BIO,2022-2023,Profit_Loss,$0.04 
CHEM,2022-2023,Profit_Loss,($0.13)
CHS,2022-2023,Profit_Loss,($0.32)
COMM,2022-2023,Profit_Loss,$0.71 
EAS,2022-2023,Profit_Loss,$0.20 
ENG,2022-2023,Profit_Loss,$0.15 
GWS,2022-2023,Profit_Loss,$0.02 
HIS,2022-2023,Profit_Loss,$0.39 
JMP,2022-2023,Profit_Loss,$0.23 
LANG,2022-2023,Profit_Loss,($0.02)
MUS,2022-2023,Profit_Loss,($0.16)
PHI,2022-2023,Profit_Loss,$0.76 
PHY,2022-2023,Profit_Loss,$0.50 
PSC,2022-2023,Profit_Loss,$0.59 
PSYC,2022-2023,Profit_Loss,$1.13 
SOAN,2022-2023,Profit_Loss,$0.47 
THAD,2022-2023,Profit_Loss,($0.24)
CLAS,2023-2024,Profit_Loss,$0.25 
AAS,2023-2024,Profit_Loss,($0.16)
ART,2023-2024,Profit_Loss,($0.16)
BIO,2023-2024,Profit_Loss,$0.36 
CHEM,2023-2024,Profit_Loss,($0.08)
CHS,2023-2024,Profit_Loss,($0.26)
COMM,2023-2024,Profit_Loss,$1.16 
EAS,2023-2024,Profit_Loss,$0.36 
ENG,2023-2024,Profit_Loss,$0.56 
GWS,2023-2024,Profit_Loss,$0.01 
HIS,2023-2024,Profit_Loss,$0.64 
JMP,2023-2024,Profit_Loss,$0.39 
LANG,2023-2024,Profit_Loss,$0.09 
MUS,2023-2024,Profit_Loss,($0.50)
PHI,2023-2024,Profit_Loss,$0.49 
PHY,2023-2024,Profit_Loss,$0.25 
PSC,2023-2024,Profit_Loss,$0.32 
PSYC,2023-2024,Profit_Loss,$0.81 
SOAN,2023-2024,Profit_Loss,$0.48 
THAD,2023-2024,Profit_Loss,$0.38 
AAS,2024-2025,Profit_Loss,($0.25)
ART,2024-2025,Profit_Loss,($0.17)
BIO,2024-2025,Profit_Loss,$0.33 
CHEM,2024-2025,Profit_Loss,($0.07)
CHS,2024-2025,Profit_Loss,($0.25)
COMM,2024-2025,Profit_Loss,$1.15 
EAS,2024-2025,Profit_Loss,$0.40 
ENG,2024-2025,Profit_Loss,$0.58 
GWS,2024-2025,Profit_Loss,$0.03 
HIS,2024-2025,Profit_Loss,$0.76 
JMP,2024-2025,Profit_Loss,$0.47 
LANG,2024-2025,Profit_Loss,$0.12 
MUS,2024-2025,Profit_Loss,($0.43)
PHI,2024-2025,Profit_Loss,$0.56 
PHY,2024-2025,Profit_Loss,$0.28 
PSC,2024-2025,Profit_Loss,$0.39 
PSYC,2024-2025,Profit_Loss,$0.79 
SOAN,2024-2025,Profit_Loss,$0.37 
THAD,2024-2025,Profit_Loss,($0.41)
CLAS,2024-2025,Profit_Loss,$0.23 
AAS,2022-2023,Retention,0.857
ART,2022-2023,Retention,0.715
BIO,2022-2023,Retention,0.684
CHEM,2022-2023,Retention,0.656
CHS,2022-2023,Retention,0.625
CLAS,2022-2023,Retention,0.709
COMM,2022-2023,Retention,0.724
EAS,2022-2023,Retention,0.678
ENG,2022-2023,Retention,0.748
GWS,2022-2023,Retention,0.75
HIS,2022-2023,Retention,0.718
JMP,2022-2023,Retention,0.688
LANG,2022-2023,Retention,0.75
MUS,2022-2023,Retention,0.75
PHI,2022-2023,Retention,0.667
PHY,2022-2023,Retention,0.781
PSC,2022-2023,Retention,0.669
PSYC,2022-2023,Retention,0.725
SOAN,2022-2023,Retention,0.756
THAD,2022-2023,Retention,0.673
AAS,2023-2024,Retention,0.857
ART,2023-2024,Retention,0.705
BIO,2023-2024,Retention,0.706
CHEM,2023-2024,Retention,0.713
CHS,2023-2024,Retention,0.9
CLAS,2023-2024,Retention,0.71
COMM,2023-2024,Retention,0.683
EAS,2023-2024,Retention,0.75
ENG,2023-2024,Retention,0.69
GWS,2023-2024,Retention,0.677
HIS,2023-2024,Retention,0.812
JMP,2023-2024,Retention,0.707
LANG,2023-2024,Retention,0.733
MUS,2023-2024,Retention,0.733
PHI,2023-2024,Retention,0.655
PHY,2023-2024,Retention,0.675
PSC,2023-2024,Retention,0.614
PSYC,2023-2024,Retention,0.703
SOAN,2023-2024,Retention,0.745
THAD,2023-2024,Retention,0.771
AAS,2024-2025,Retention,0.5
ART,2024-2025,Retention,0.727
BIO,2024-2025,Retention,0.694
CHEM,2024-2025,Retention,0.705
CHS,2024-2025,Retention,0.556
CLAS,2024-2025,Retention,0.706
COMM,2024-2025,Retention,0.653
EAS,2024-2025,Retention,0.695
ENG,2024-2025,Retention,0.77
GWS,2024-2025,Retention,0.792
HIS,2024-2025,Retention,0.764
JMP,2024-2025,Retention,0.727
LANG,2024-2025,Retention,0.625
MUS,2024-2025,Retention,0.624
PHI,2024-2025,Retention,0.833
PHY,2024-2025,Retention,0.581
PSC,2024-2025,Retention,0.65
PSYC,2024-2025,Retention,0.695
SOAN,2024-2025,Retention,0.756
THAD,2024-2025,Retention,0.748
AAS,2025-2026,Retention,0.75
ART,2025-2026,Retention,0.704
BIO,2025-2026,Retention,0.721
CHEM,2025-2026,Retention,0.658
CHS,2025-2026,Retention,1
CLAS,2025-2026,Retention,0.722
COMM,2025-2026,Retention,0.753
EAS,2025-2026,Retention,0.73
ENG,2025-2026,Retention,0.709
GWS,2025-2026,Retention,0.714
HIS,2025-2026,Retention,0.772
JMP,2025-2026,Retention,0.693
LANG,2025-2026,Retention,0.564
MUS,2025-2026,Retention,0.68
PHI,2025-2026,Retention,0.667
PHY,2025-2026,Retention,0.543
PSC,2025-2026,Retention,0.696
PSYC,2025-2026,Retention,0.753
SOAN,2025-2026,Retention,0.675
THAD,2025-2026,Retention,0.783
AAS,2022-2023,Retention_FTFT,1
ART,2022-2023,Retention_FTFT,0.607
BIO,2022-2023,Retention_FTFT,0.667
CHEM,2022-2023,Retention_FTFT,0.722
CHS,2022-2023,Retention_FTFT,
CLAS,2022-2023,Retention_FTFT,0.62
COMM,2022-2023,Retention_FTFT,0.5
EAS,2022-2023,Retention_FTFT,0.474
ENG,2022-2023,Retention_FTFT,0.5
GWS,2022-2023,Retention_FTFT,0.75
HIS,2022-2023,Retention_FTFT,0.718
JMP,2022-2023,Retention_FTFT,0.688
LANG,2022-2023,Retention_FTFT,0.75
MUS,2022-2023,Retention_FTFT,0.6
PHI,2022-2023,Retention_FTFT,
PHY,2022-2023,Retention_FTFT,0.667
PSC,2022-2023,Retention_FTFT,0.733
PSYC,2022-2023,Retention_FTFT,0.605
SOAN,2022-2023,Retention_FTFT,0.8
THAD,2022-2023,Retention_FTFT,0.667
AAS,2023-2024,Retention_FTFT,
ART,2023-2024,Retention_FTFT,0.556
BIO,2023-2024,Retention_FTFT,0.65
CHEM,2023-2024,Retention_FTFT,0.7
CHS,2023-2024,Retention_FTFT,
CLAS,2023-2024,Retention_FTFT,0.676
COMM,2023-2024,Retention_FTFT,0.8
EAS,2023-2024,Retention_FTFT,0.727
ENG,2023-2024,Retention_FTFT,0.722
GWS,2023-2024,Retention_FTFT,0.677
HIS,2023-2024,Retention_FTFT,0.812
JMP,2023-2024,Retention_FTFT,0.707
LANG,2023-2024,Retention_FTFT,0.733
MUS,2023-2024,Retention_FTFT,0.625
PHI,2023-2024,Retention_FTFT,1
PHY,2023-2024,Retention_FTFT,1
PSC,2023-2024,Retention_FTFT,0.5
PSYC,2023-2024,Retention_FTFT,0.644
SOAN,2023-2024,Retention_FTFT,0.8
THAD,2023-2024,Retention_FTFT,1
AAS,2024-2025,Retention_FTFT,1
ART,2024-2025,Retention_FTFT,0.684
BIO,2024-2025,Retention_FTFT,0.66
CHEM,2024-2025,Retention_FTFT,0.75
CHS,2024-2025,Retention_FTFT,1
CLAS,2024-2025,Retention_FTFT,0.656
COMM,2024-2025,Retention_FTFT,0.375
EAS,2024-2025,Retention_FTFT,0.6
ENG,2024-2025,Retention_FTFT,0.65
GWS,2024-2025,Retention_FTFT,0.792
HIS,2024-2025,Retention_FTFT,0.764
JMP,2024-2025,Retention_FTFT,0.727
LANG,2024-2025,Retention_FTFT,0.625
MUS,2024-2025,Retention_FTFT,0.476
PHI,2024-2025,Retention_FTFT,0
PHY,2024-2025,Retention_FTFT,0.545
PSC,2024-2025,Retention_FTFT,0.6
PSYC,2024-2025,Retention_FTFT,0.609
SOAN,2024-2025,Retention_FTFT,0.8
THAD,2024-2025,Retention_FTFT,0.75
AAS,2025-2026,Retention_FTFT,
ART,2025-2026,Retention_FTFT,0.644
BIO,2025-2026,Retention_FTFT,0.706
CHEM,2025-2026,Retention_FTFT,0.789
CHS,2025-2026,Retention_FTFT,1
CLAS,2025-2026,Retention_FTFT,0.684
COMM,2025-2026,Retention_FTFT,0.75
EAS,2025-2026,Retention_FTFT,0.5
ENG,2025-2026,Retention_FTFT,0.769
GWS,2025-2026,Retention_FTFT,0.5
HIS,2025-2026,Retention_FTFT,0.667
JMP,2025-2026,Retention_FTFT,0.545
LANG,2025-2026,Retention_FTFT,0.5
MUS,2025-2026,Retention_FTFT,0.75
PHI,2025-2026,Retention_FTFT,1
PHY,2025-2026,Retention_FTFT,0.5
PSC,2025-2026,Retention_FTFT,0.786
PSYC,2025-2026,Retention_FTFT,0.685
SOAN,2025-2026,Retention_FTFT,0.833
THAD,2025-2026,Retention_FTFT,0.769
AAS,2022-2023,Retention_Transfer,0.8
ART,2022-2023,Retention_Transfer,0.775
BIO,2022-2023,Retention_Transfer,0.658
CHEM,2022-2023,Retention_Transfer,0.612
CHS,2022-2023,Retention_Transfer,0
CLAS,2022-2023,Retention_Transfer,0.719
COMM,2022-2023,Retention_Transfer,0.711
EAS,2022-2023,Retention_Transfer,0.708
ENG,2022-2023,Retention_Transfer,0.75
GWS,2022-2023,Retention_Transfer,0.923
HIS,2022-2023,Retention_Transfer,0.735
JMP,2022-2023,Retention_Transfer,0.68
LANG,2022-2023,Retention_Transfer,0.733
MUS,2022-2023,Retention_Transfer,0.759
PHI,2022-2023,Retention_Transfer,0.632
PHY,2022-2023,Retention_Transfer,0.706
PSC,2022-2023,Retention_Transfer,0.701
PSYC,2022-2023,Retention_Transfer,0.751
SOAN,2022-2023,Retention_Transfer,0.753
THAD,2022-2023,Retention_Transfer,0.804
AAS,2023-2024,Retention_Transfer,0.833
ART,2023-2024,Retention_Transfer,0.759
BIO,2023-2024,Retention_Transfer,0.726
CHEM,2023-2024,Retention_Transfer,0.75
CHS,2023-2024,Retention_Transfer,1
CLAS,2023-2024,Retention_Transfer,0.715
COMM,2023-2024,Retention_Transfer,0.648
EAS,2023-2024,Retention_Transfer,0.734
ENG,2023-2024,Retention_Transfer,0.716
GWS,2023-2024,Retention_Transfer,0.611
HIS,2023-2024,Retention_Transfer,0.796
JMP,2023-2024,Retention_Transfer,0.702
LANG,2023-2024,Retention_Transfer,0.781
MUS,2023-2024,Retention_Transfer,0.765
PHI,2023-2024,Retention_Transfer,0.563
PHY,2023-2024,Retention_Transfer,0.72
PSC,2023-2024,Retention_Transfer,0.56
PSYC,2023-2024,Retention_Transfer,0.701
SOAN,2023-2024,Retention_Transfer,0.674
THAD,2023-2024,Retention_Transfer,0.755
AAS,2024-2025,Retention_Transfer,0.4
ART,2024-2025,Retention_Transfer,0.723
CHEM,2024-2025,Retention_Transfer,0.709
CHS,2024-2025,Retention_Transfer,0.6
CLAS,2024-2025,Retention_Transfer,0.719
COMM,2024-2025,Retention_Transfer,0.677
EAS,2024-2025,Retention_Transfer,0.673
ENG,2024-2025,Retention_Transfer,0.77
GWS,2024-2025,Retention_Transfer,0.714
HIS,2024-2025,Retention_Transfer,0.792
JMP,2024-2025,Retention_Transfer,0.728
LANG,2024-2025,Retention_Transfer,0.692
MUS,2024-2025,Retention_Transfer,0.672
PHI,2024-2025,Retention_Transfer,0.813
PHY,2024-2025,Retention_Transfer,0.438
PSC,2024-2025,Retention_Transfer,0.64
PSYC,2024-2025,Retention_Transfer,0.72
SOAN,2024-2025,Retention_Transfer,0.773
THAD,2024-2025,Retention_Transfer,0.711
AAS,2024-2025,Retention_Transfer,1
ART,2025-2026,Retention_Transfer,0.793
BIO,2024-2025,Retention_Transfer,0.716
BIO,2025-2026,Retention_Transfer,0.723
CHEM,2025-2026,Retention_Transfer,0.62
CHS,2025-2026,Retention_Transfer,1
CLAS,2025-2026,Retention_Transfer,0.727
COMM,2025-2026,Retention_Transfer,0.75
EAS,2025-2026,Retention_Transfer,0.732
ENG,2025-2026,Retention_Transfer,0.669
GWS,2025-2026,Retention_Transfer,0.75
HIS,2025-2026,Retention_Transfer,0.786
JMP,2025-2026,Retention_Transfer,0.711
LANG,2025-2026,Retention_Transfer,0.48
MUS,2025-2026,Retention_Transfer,0.647
PHI,2025-2026,Retention_Transfer,0.643
PHY,2025-2026,Retention_Transfer,0.6
PSC,2025-2026,Retention_Transfer,0.671
PSYC,2025-2026,Retention_Transfer,0.751
SOAN,2025-2026,Retention_Transfer,0.673
THAD,2025-2026,Retention_Transfer,0.804
AAS,Spring 2026,CHP,726
ART,Spring 2026,CHP,3688
BIO,Spring 2026,CHP,7005
CHEM,Spring 2026,CHP,3213
CHS,Spring 2026,CHP,982
COMM,Spring 2026,CHP,5130
EAS,Spring 2026,CHP,4512
ENG,Spring 2026,CHP,9516
GWS,Spring 2026,CHP,1850
HIS,Spring 2026,CHP,5293
JMP,Spring 2026,CHP,1946
LANG,Spring 2026,CHP,3022
MUS,Spring 2026,CHP,2522
PHI,Spring 2026,CHP,3618
PHY,Spring 2026,CHP,1651
PSC,Spring 2026,CHP,2163
PSYC,Spring 2026,CHP,10944
SOAN,Spring 2026,CHP,3936
THAD,Spring 2026,CHP,1437
SOAN,Fall 2021,Majors,167
SOAN,Fall 2022,Majors,170
SOAN,Fall 2023,Majors,195
SOAN,Fall 2024,Majors,210
SOAN,Fall 2025,Majors,194
SOAN,Spring 2022,Majors,158
SOAN,Spring 2023,Majors,157
SOAN,Spring 2024,Majors,189
SOAN,Spring 2025,Majors,191
SOAN,Spring 2026,Majors,174
THAD,Fall 2021,Majors,128
THAD,Fall 2022,Majors,122
THAD,Fall 2023,Majors,125
THAD,Fall 2024,Majors,121
THAD,Fall 2025,Majors,136
THAD,Spring 2022,Majors,118
THAD,Spring 2023,Majors,109
THAD,Spring 2024,Majors,117
THAD,Spring 2025,Majors,121
THAD,Spring 2026,Majors,117
AAS,Fall 2025,DFWI,0.247
ART,Fall 2025,DFWI,0.138
BIO,Fall 2025,DFWI,0.23
CHEM,Fall 2025,DFWI,0.147
CHS,Fall 2025,DFWI,0.193
COMM,Fall 2025,DFWI,0.279
EAS,Fall 2025,DFWI,0.201
ENG,Fall 2025,DFWI,0.245
GWS,Fall 2025,DFWI,0.223
HIS,Fall 2025,DFWI,0.302
JMP,Fall 2025,DFWI,0.169
LANG,Fall 2025,DFWI,0.285
MUS,Fall 2025,DFWI,0.204
PHI,Fall 2025,DFWI,0.279
PHY,Fall 2025,DFWI,0.153
PSC,Fall 2025,DFWI,0.167
PSYC,Fall 2025,DFWI,0.172
SOAN,Fall 2025,DFWI,0.244
THAD,Fall 2025,DFWI,0.157
CLAS,Fall 2025,DFWI,0.222
AAS,2025-2026,Avg_Class_Size,24.2
ART,2025-2026,Avg_Class_Size,16.7
BIO,2025-2026,Avg_Class_Size,27.8
CHEM,2025-2026,Avg_Class_Size,23.6
CHS,2025-2026,Avg_Class_Size,22.3
COMM,2025-2026,Avg_Class_Size,25.6
EAS,2025-2026,Avg_Class_Size,25.7
ENG,2025-2026,Avg_Class_Size,21.2
GWS,2025-2026,Avg_Class_Size,22.7
HIS,2025-2026,Avg_Class_Size,25
JMP,2025-2026,Avg_Class_Size,17.8
LANG,2025-2026,Avg_Class_Size,16.9
MUS,2025-2026,Avg_Class_Size,15.6
PHI,2025-2026,Avg_Class_Size,22.1
PHY,2025-2026,Avg_Class_Size,21.7
PSC,2025-2026,Avg_Class_Size,23.7
PSYC,2025-2026,Avg_Class_Size,36.4
SOAN,2025-2026,Avg_Class_Size,24.2
THAD,2025-2026,Avg_Class_Size,15.9
CLAS,2025-2026,Avg_Class_Size,23.4
AAS,Spring 2026,DFWI,0.231
ART,Spring 2026,DFWI,0.124
BIO,Spring 2026,DFWI,0.213
CHEM,Spring 2026,DFWI,0.163
CHS,Spring 2026,DFWI,0.194
COMM,Spring 2026,DFWI,0.274
EAS,Spring 2026,DFWI,0.181
ENG,Spring 2026,DFWI,0.23
GWS,Spring 2026,DFWI,0.214
HIS,Spring 2026,DFWI,0.322
JMP,Spring 2026,DFWI,0.159
LANG,Spring 2026,DFWI,0.268
MUS,Spring 2026,DFWI,0.196
PHI,Spring 2026,DFWI,0.27
PHY,Spring 2026,DFWI,0.194
PSC,Spring 2026,DFWI,0.195
PSYC,Spring 2026,DFWI,0.185
SOAN,Spring 2026,DFWI,0.24
THAD,Spring 2026,DFWI,0.109
CLAS,Spring 2026,DFWI,0.215
PSYC,2023-2024,Grad_6_Year,0.287
PSYC,2024-2025,Grad_4_Year,0.151
PSYC,2024-2025,Grad_5_Year,0.314
PSYC,2024-2025,Grad_6_Year,0.219
PSYC,2025-2026,Grad_4_Year,0.172
PSYC,2025-2026,Grad_5_Year,0.269
PSYC,2025-2026,Grad_6_Year,0.353
SOAN,2021-2022,Grad_4_Year,0.083
SOAN,2021-2022,Grad_5_Year,0.063
SOAN,2021-2022,Grad_6_Year,0
SOAN,2022-2023,Grad_4_Year,0.111
SOAN,2022-2023,Grad_5_Year,0.083
SOAN,2022-2023,Grad_6_Year,0.063
SOAN,2023-2024,Grad_4_Year,0.111
SOAN,2023-2024,Grad_5_Year,0.222
SOAN,2023-2024,Grad_6_Year,0.167
SOAN,2024-2025,Grad_4_Year,0.4
SOAN,2024-2025,Grad_5_Year,0.111
SOAN,2024-2025,Grad_6_Year,0.222
SOAN,2025-2026,Grad_4_Year,0
SOAN,2025-2026,Grad_5_Year,0.6
SOAN,2025-2026,Grad_6_Year,0.111
THAD,2021-2022,Grad_4_Year,0.12
THAD,2021-2022,Grad_5_Year,0.176
THAD,2021-2022,Grad_6_Year,0.053
THAD,2022-2023,Grad_4_Year,0.148
THAD,2022-2023,Grad_5_Year,0.235
THAD,2022-2023,Grad_6_Year,0.24
THAD,2023-2024,Grad_4_Year,0.043
THAD,2023-2024,Grad_5_Year,0.37
THAD,2023-2024,Grad_6_Year,0.235
THAD,2024-2025,Grad_4_Year,0.154
THAD,2024-2025,Grad_5_Year,0.13
THAD,2024-2025,Grad_6_Year,0.407
THAD,2025-2026,Grad_4_Year,0
THAD,2025-2026,Grad_5_Year,0.308
THAD,2025-2026,Grad_6_Year,0.13
AAS,2025-2026,Graduates,1
ART,2025-2026,Graduates,51
BIO,2025-2026,Graduates,86
CHEM,2025-2026,Graduates,17
CHS,2025-2026,Graduates,1
CLAS,2025-2026,Graduates,761
COMM,2025-2026,Graduates,52
EAS,2025-2026,Graduates,38
ENG,2025-2026,Graduates,75
GWS,2025-2026,Graduates,4
HIS,2025-2026,Graduates,49
JMP,2025-2026,Graduates,44
LANG,2025-2026,Graduates,10
MUS,2025-2026,Graduates,12
PHI,2025-2026,Graduates,2
PHY,2025-2026,Graduates,4
PSC,2025-2026,Graduates,33
PSYC,2025-2026,Graduates,227
SOAN,2025-2026,Graduates,34
THAD,2025-2026,Graduates,10
AAS,2025-2026,Online_CHP,0.58
ART,2025-2026,Online_CHP,0.18
BIO,2025-2026,Online_CHP,0.19
CHEM,2025-2026,Online_CHP,0.28
CHS,2025-2026,Online_CHP,0.52
COMM,2025-2026,Online_CHP,0.42
EAS,2025-2026,Online_CHP,0.53
ENG,2025-2026,Online_CHP,0.57
GWS,2025-2026,Online_CHP,0.77
HIS,2025-2026,Online_CHP,0.48
JMP,2025-2026,Online_CHP,0.49
LANG,2025-2026,Online_CHP,0.67
MUS,2025-2026,Online_CHP,0.26
PHI,2025-2026,Online_CHP,0.53
PHY,2025-2026,Online_CHP,0.29
PSC,2025-2026,Online_CHP,0.55
PSYC,2025-2026,Online_CHP,0.64
SOAN,2025-2026,Online_CHP,0.61
THAD,2025-2026,Online_CHP,0.14
CLAS,2025-2026,Online_CHP,0.47
CLAS,2025-2026,Fill_Rate,0.84
AAS,2025-2026,Fill_Rate,0.7
ART,2025-2026,Fill_Rate,0.85
BIO,2025-2026,Fill_Rate,0.88
CHEM,2025-2026,Fill_Rate,0.82
CHS,2025-2026,Fill_Rate,0.82
COMM,2025-2026,Fill_Rate,0.91
EAS,2025-2026,Fill_Rate,0.85
ENG,2025-2026,Fill_Rate,0.92
GWS,2025-2026,Fill_Rate,0.77
HIS,2025-2026,Fill_Rate,0.86
JMP,2025-2026,Fill_Rate,0.72
LANG,2025-2026,Fill_Rate,0.75
MUS,2025-2026,Fill_Rate,0.61
PHI,2025-2026,Fill_Rate,0.84
PHY,2025-2026,Fill_Rate,0.81
